x values , y values
0.0, 2.0
1.0, 5.0
2.0, 10.0
3.0, 17.0
4.0, 26.0
5.0, 37.0
6.0, 50.0
7.0, 65.0
8.0, 82.0
9.0, 101.0
10.0, 122.0
11.0, 145.0
12.0, 170.0
13.0, 197.0
14.0, 226.0
15.0, 257.0
16.0, 290.0
17.0, 325.0
18.0, 362.0
19.0, 401.0
20.0, 442.0
21.0, 485.0
22.0, 530.0
23.0, 577.0
24.0, 626.0
25.0, 677.0
26.0, 730.0
27.0, 785.0
28.0, 842.0
29.0, 901.0
30.0, 962.0
31.0, 1025.0
32.0, 1090.0
33.0, 1157.0
34.0, 1226.0
35.0, 1297.0
36.0, 1370.0
37.0, 1445.0
38.0, 1522.0
39.0, 1601.0
40.0, 1682.0
41.0, 1765.0
42.0, 1850.0
43.0, 1937.0
44.0, 2026.0
45.0, 2117.0
46.0, 2210.0
47.0, 2305.0
48.0, 2402.0
49.0, 2501.0
