x values , y values
0.0, 10.0
1.0, 25.0
2.0, 50.0
3.0, 51.0
4.0, 26.0
5.0, 74.0
6.0, 250.0
7.0, 260.0
8.0, 328.0
9.0, 505.0
10.0, 122.0
11.0, 870.0
12.0, 170.0
13.0, 591.0
14.0, 226.0
15.0, 257.0
16.0, 1740.0
17.0, 1625.0
18.0, 1448.0
19.0, 2406.0
20.0, 2652.0
21.0, 2910.0
22.0, 2120.0
23.0, 2885.0
24.0, 626.0
25.0, 677.0
26.0, 3650.0
27.0, 4710.0
28.0, 4210.0
29.0, 3604.0
30.0, 962.0
31.0, 1025.0
32.0, 5450.0
33.0, 6942.0
34.0, 4904.0
35.0, 3891.0
36.0, 8220.0
37.0, 2890.0
38.0, 7610.0
39.0, 1601.0
40.0, 8410.0
41.0, 7060.0
42.0, 9250.0
43.0, 3874.0
44.0, 6078.0
45.0, 2117.0
46.0, 8840.0
47.0, 4610.0
48.0, 12010.0
49.0, 2501.0
