x values , y values
0.0, 28.333333333333332
1.0, 28.333333333333332
2.0, 42.0
3.0, 42.333333333333336
4.0, 50.333333333333336
5.0, 116.66666666666667
6.0, 194.66666666666666
7.0, 279.3333333333333
8.0, 364.3333333333333
9.0, 318.3333333333333
10.0, 499.0
11.0, 387.3333333333333
12.0, 543.6666666666666
13.0, 329.0
14.0, 358.0
15.0, 741.0
16.0, 1207.3333333333333
17.0, 1604.3333333333333
18.0, 1826.3333333333333
19.0, 2168.6666666666665
20.0, 2656.0
21.0, 2560.6666666666665
22.0, 2638.3333333333335
23.0, 1877.0
24.0, 1396.0
25.0, 1651.0
26.0, 3012.3333333333335
27.0, 4190.0
28.0, 4174.666666666667
29.0, 2925.3333333333335
30.0, 1863.6666666666667
31.0, 2479.0
32.0, 4472.333333333333
33.0, 5765.333333333333
34.0, 5245.666666666667
35.0, 5671.666666666667
36.0, 5000.333333333333
37.0, 6240.0
38.0, 4033.6666666666665
39.0, 5873.666666666667
40.0, 5690.333333333333
41.0, 8240.0
42.0, 6728.0
43.0, 6400.666666666667
44.0, 4023.0
45.0, 5678.333333333333
46.0, 5189.0
47.0, 8486.666666666666
48.0, 6373.666666666667
49.0, 6373.666666666667
